cartodb_id,the_geom,the_geom_webmercator,name,address,phone,state,state_abb,status,distance,allhomes_zhvi_predenom_2016_08,closed_date,total_pop_area_2011_2015
17,0101000020E61000003468E89FE0B355C01475E61E12584040,0101000020110F0000E4EBC3C39B6E62C139F61E8549674D41,JCPenney - High Point Town Ctr in Prattville,550 Pinnacle Pl,(334) 450-2274,Alabama,AL,retaining,24140,,,6.90315718784853
18,0101000020E61000003468E89FE0B355C01475E61E12584040,0101000020110F0000E4EBC3C39B6E62C139F61E8549674D41,JCPenney - Jackson Square in Scottsboro,1601 S Broad,(256) 259-3381,Alabama,AL,retaining,24140,,,6.90315718784853
19,0101000020E6100000A9A44E4013FA55C01C5DA5BBEBA83E40,0101000020110F00007DDE36393AAA62C1432CCB1216614B41,JCPenney - Spanish Fort Twn Ctr,22500 Town Center Ave,(251) 625-4930,Alabama,AL,retaining,24140,234500,,44.5026418159249
20,0101000020E6100000454AB3791CA955C0A0E238F06ACD4040,0101000020110F0000AD805EF7766562C18C1D48385B554E41,JCPenney - Tutwiler Farm in Trussville,5060 Pinnacle Sq,(205) 655-5891,Alabama,AL,retaining,24140,213900,,512.162550217536
21,0101000020E61000003468E89FE0B355C01475E61E12584040,0101000020110F0000E4EBC3C39B6E62C139F61E8549674D41,JCPenney - University Mall in Tuscaloosa,1701 Macfarland Blvd E,(205) 556-7860,Alabama,AL,retaining,24140,,,6.90315718784853
22,0101000020E610000022DFA5D4253463C02CB64945632E5040,0101000020110F0000F15D8B2D494F70C1BD72AFEF5F306241,JCPenney - 5th Avenue Mall-Sur in Anchorage,5th Avenue Mall-Sur,(907) 279-5656,Alaska,AK,retaining,24140,,,0.00747800760499014
23,0101000020E610000022DFA5D4253463C02CB64945632E5040,0101000020110F0000F15D8B2D494F70C1BD72AFEF5F306241,JCPenney LCS - 5th Avenue Mall-Air in Anchorage,5th Avenue Mall-Air,907-277-6661,Alaska,AK,retaining,24140,,,0.00747800760499014
24,0101000020E6100000679B1BD313E85BC0B64DF1B8A8204140,0101000020110F00005E7D679B77B367C160E4AAFCC4FF4E41,JCPenney - Riverview Mall in Bullhead City,2350 Miracle Mile Rd #270,(928) 763-2662,Arizona,AZ,closing,24140,218400,2014-05-06 00:00:00+00,0.689558521677233
25,0101000020E6100000B74604E3E0EB5BC0350A4966F5704040,0101000020110F00000CAE6E07B2B667C19A66F85A92994D41,JCPenney - Promnde@ Casa Grande,1041 N Promenade Pkwy,(520) 836-1557,Arizona,AZ,retaining,24140,205600,,59.6474747129254
26,0101000020E61000000B444FCAA4F25BC01807978E39A34040,0101000020110F00009DDF69EF70BC67C118969E4B78FF4D41,JCPenney - Mill Crossing in Chandler,2180 S Gilbert Rd,(480) 281-4637,Arizona,AZ,retaining,24140,325000,,46.2242832103619
27,0101000020E6100000679B1BD313E85BC0B64DF1B8A8204140,0101000020110F00005E7D679B77B367C160E4AAFCC4FF4E41,JCPenney - Little Creek Center in Cottonwood,1100-B Hwy 260,(928) 634-0134,Arizona,AZ,retaining,24140,218400,,0.689558521677233
28,0101000020E61000003FA7203F1B645BC07FFACF9A1F573F40,0101000020110F00005601B35A624367C1316EF122B10D4C41,JCPenney - Pan American S/C in Douglas,90 W 5th St,(520) 364-6400,Arizona,AZ,retaining,24140,85400,,2.95301141888103
29,0101000020E6100000679B1BD313E85BC0B64DF1B8A8204140,0101000020110F00005E7D679B77B367C160E4AAFCC4FF4E41,JCPenney - Flagstaff Mall,4600 N US Hwy 89,(928) 526-5400,Arizona,AZ,retaining,24140,218400,,0.689558521677233
30,0101000020E6100000B153AC1A840E5CC0481ADCD616D24040,0101000020110F00005CFCA5F51CD467C1C63064B5E25E4E41,JCPenney - Arrowhead Towne Ctr in Glendale,7750 W Arrowhead Towne Center,(623) 412-1121,Arizona,AZ,retaining,24140,256900,,1481.07440683418
31,0101000020E6100000709692E524165CC0F792C6681DBB4040,0101000020110F00001094877797DA67C123C9F9400F304E41,JCPenney - Palm Valley Cornerst in Goodyear,13333 W Mcdowell Rd,(623) 535-7063,Arizona,AZ,retaining,24140,312900,,357.869162482556
32,0101000020E6100000A9D6677341825CC080B56AD7849B4140,0101000020110F000045A2462C693668C18762EF12B8FD4F41,JCPenney - Kingman Square S/C,3127 Stockton Hill Rd,(928) 753-1211,Arizona,AZ,retaining,24140,127300,,414.400413068694
33,0101000020E6100000679B1BD313E85BC0B64DF1B8A8204140,0101000020110F00005E7D679B77B367C160E4AAFCC4FF4E41,JCPenney - Shops @ Lake Havasu in Lake Havasu City,5651 Hwy 95 N,(928) 764-1800,Arizona,AZ,retaining,24140,218400,,0.689558521677233
34,0101000020E61000007B4D0F0A4AEC5BC0D4D17135B2B14040,0101000020110F0000C1B9C8550BB767C1ABE559F4E31C4E41,JCPenney - Superst''n Springs Ml in Mesa,6525 E Southern Ave,(480) 832-0400,Arizona,AZ,retaining,24140,197200,,267.976586131959
35,0101000020E61000007B4D0F0A4AEC5BC0D4D17135B2B14040,0101000020110F0000C1B9C8550BB767C1ABE559F4E31C4E41,JCPenney - Superst'n Springs Ml in Mesa,6525 E Southern Ave,480-832-0400,Arizona,AZ,retaining,24140,197200,,267.976586131959
36,0101000020E61000002F50526001BE5BC0DBC2F352B1553F40,0101000020110F0000F0A00843BC8F67C11E5405EC440C4C41,JCPenney - Mariposa West Plaza in Nogales,220 W Mariposa Rd,(520) 281-4891,Arizona,AZ,retaining,24140,114900,,279.855149798564
37,0101000020E61000003830B95164FE5BC02E8D5F7825A94040,0101000020110F0000630F023B6BC667C11AD4E801810B4E41,JCPenney - Ahwatukee Foothills in Phoenix,5050 E Ray Rd,(480) 785-5245,Arizona,AZ,retaining,24140,258400,,3840.53933380063
38,0101000020E6100000D6E07D552E065CC0A23D038F14C34040,0101000020110F000044B171BF08CD67C10BB5439A48404E41,JCPenney - Christown Spectrum in Phoenix,1727 W Bethany Home Rd,(602) 841-1235,Arizona,AZ,retaining,24140,162400,,1839.56415487922
39,0101000020E6100000ED80EB8A19FF5BC0A0C6BDF90DCD4040,0101000020110F000029B3C32405C767C1761D6DA19D544E41,JCPenney - Paradise Valley Mall in Phoenix,4510 E Cactus Rd,(602) 996-2550,Arizona,AZ,retaining,24140,224200,,1178.91525179878
40,0101000020E6100000098CF50D4C1A5CC0399CF9D51C464140,0101000020110F000002D139681EDE67C1A30D7DB7DF4C4F41,JCPenney - Prescott Gateway Mal,3200 Gateway Blvd,(928) 778-1260,Arizona,AZ,retaining,24140,297800,,108.895671131491
41,0101000020E6100000611A868F88815BC02E0494E1D31A4140,0101000020110F0000EBE87866605C67C1368340EAC9F34E41,JCPenney - Park Pineway Center in Show Low,4481 S White Mountain Rd Ste 5,(928) 537-8464,Arizona,AZ,retaining,24140,198200,,125.110140548324
42,0101000020E61000005C59A2B3CCF95BC0E65B1FD61BB74040,0101000020110F0000915235C784C267C1A570427DE7274E41,JCPenney - Tempe Marketplace,1900 E Rio Salado Pkwy Ste 140,(480) 829-3555,Arizona,AZ,retaining,24140,213200,,211.846539656342
43,0101000020E6100000679B1BD313E85BC0B64DF1B8A8204140,0101000020110F00005E7D679B77B367C160E4AAFCC4FF4E41,JCPenney - El Con Shpg Cntr in Tucson,3501 E Broadway,(520) 881-2200,Arizona,AZ,retaining,24140,218400,,0.689558521677233
44,0101000020E610000089EE59D768BE5BC01092054CE0244040,0101000020110F0000B1F57922149067C1160538A231004D41,JCPenney - Tucson Mall,4530 N Oracle Rd,520-293-8100,Arizona,AZ,retaining,24140,118300,,1614.20798121754
45,0101000020E610000089EE59D768BE5BC01092054CE0244040,0101000020110F0000B1F57922149067C1160538A231004D41,JCPenney - Tucson Mall,4530 N Oracle Rd,(520) 293-8100,Arizona,AZ,retaining,24140,118300,,1614.20798121754
46,0101000020E6100000533F6F2A52BF5BC077D9AF3BDD134040,0101000020110F00006EAC1A4CDA9067C143F16A7009DE4C41,JCPenney - Tucson Spectrum,5265 S Calle Santa Cruz,(520) 917-3280,Arizona,AZ,retaining,24140,89600,,1110.95838589071
47,0101000020E6100000679B1BD313E85BC0B64DF1B8A8204140,0101000020110F00005E7D679B77B367C160E4AAFCC4FF4E41,JCPenney - Yuma Palms S/C,1375 S Yuma Palms Pkwy,(928) 782-5782,Arizona,AZ,retaining,24140,218400,,0.689558521677233
48,0101000020E6100000240A2DEBFE2857C01A4D2EC6C0604140,0101000020110F0000B792597B7FAB63C12851F9F3E1834F41,JCPenney - Independence Ctr in Batesville,475 S St Louis St,(870) 698-1067,Arkansas,AR,retaining,24140,152600,,20.1754400573656
49,0101000020E61000005891D101493357C011D951E630354140,0101000020110F0000E7F02D9D3CB463C134BD6A27012A4F41,JCPenney - Military Plaza in Benton,1512 Military Rd,(501) 860-6884,Arkansas,AR,closing,24140,,2015-12-03 00:00:00+00,27.0604460712527
50,0101000020E6100000076D8324FD7756C0A0FB7266BBF64140,0101000020110F00002907457A2A1563C1211A21BF195E5041,JCPenney - Chickasaw Plaza in Blytheville,301a S Service Rd,(870) 763-9152,Arkansas,AR,closing,24140,,2013-06-13 00:00:00+00,36.1159495596235
51,0101000020E6100000425C397B671B57C046CF2D74258E4140,0101000020110F0000E3A90665F49F63C1BDF24121EFE14F41,JCPenney - Conway Towne Center,201 Skyline Dr Ste 7,(501) 329-2882,Arkansas,AR,retaining,24140,125500,,437.29706806158
52,0101000020E6100000115A6A18992A57C011209E80819D4040,0101000020110F0000A53255D8DBAC63C185C8AC85DAF34D41,JCPenney - Mellor Park Mall in El Dorado,1845 N West Ave,(870) 862-4281,Arkansas,AR,retaining,24140,,,503.541753935078
53,0101000020E6100000F8E28BF6788957C0D4F2035779104240,0101000020110F00000090E9896FFD63C10E73094C22795041,JCPenney - Nw Arkansas Mall in Fayetteville,4201 N Shiloh Dr,(479) 521-2771,Arkansas,AR,retaining,24140,201400,,211.328306911629
54,0101000020E610000034D93F4F039857C0069D103AE8AE4140,0101000020110F0000D4CEC3EDC80964C1313FB68308135041,JCPenney - Central Mall in Fort Smith,5111 Rogers Ave,(479) 452-2420,Arkansas,AR,retaining,24140,133000,,660.441586934758
55,0101000020E6100000240A2DEBFE2857C01A4D2EC6C0604140,0101000020110F0000B792597B7FAB63C12851F9F3E1834F41,JCPenney - The Fashion Ctr in Harrison,814 US Hwy 62-65 N,(870) 741-5401,Arkansas,AR,retaining,24140,152600,,20.1754400573656
56,0101000020E61000004F594DD7134557C01CB3EC4960394140,0101000020110F00008E402E0959C363C1A801F0959F324F41,JCPenney - Hot Springs Mall in Hot Springs Nat Pk,4501 Central Ave Ste 103,(501) 525-4551,Arkansas,AR,retaining,24140,142200,,591.230659831475
57,0101000020E61000002F35423F53A856C0EBC726F911E94140,0101000020110F00003A8AF5CE373E63C1A4D34C02C84F5041,JCPenney - Mall @ Turtle Creek in Jonesboro,3000 E Highland Dr Ste 516,(870) 931-2127,Arkansas,AR,retaining,24140,,,27.7829882916694
58,0101000020E61000004F75C8CD701957C0BF9CD9AED05D4140,0101000020110F00003DC67078499E63C106804E40CF7D4F41,JCPenney - Shackleford Crossing in Little Rock,2600 S Shackleford Rd,(501) 224-0347,Arkansas,AR,retaining,24140,153600,,631.625461287901
59,0101000020E6100000240A2DEBFE2857C01A4D2EC6C0604140,0101000020110F0000B792597B7FAB63C12851F9F3E1834F41,JCPenney - Mc Cain Shopg Cntr in North Little Rock,3929 Mccain Blvd Ste 500,(501) 758-4880,Arkansas,AR,retaining,24140,152600,,20.1754400573656
60,0101000020E610000076E272BC02FE56C0800C1D3BA81A4140,0101000020110F00003AC44BA0FD8663C1FC8C7B4270F34E41,JCPenney - The Pines Mall in Pine Bluff,2901 Pines Mall Dr Ste A,(870) 534-6931,Arkansas,AR,retaining,24140,,,500.824029205531
61,0101000020E6100000F19E03CB118B57C081E84999D4264240,0101000020110F0000F19914C2CAFE63C1002EF115AB905041,JCPenney - Pinnacle Hlls Promde in Rogers,2202 Bellview Rd,(479) 936-7746,Arkansas,AR,retaining,24140,187800,,333.988972970428
62,0101000020E6100000A2EF6E6589B456C0F31E679AB0534140,0101000020110F00008EA10DD9964863C176ACE747E4684F41,JCPenney - Valley Park Center in Russellville,3057 E Main,(479) 968-2110,Arkansas,AR,retaining,24140,,,5.93678401051465
63,0101000020E61000007D0569C6A22757C0F0F96184F0DC4040,0101000020110F00008A8BA8CD57AA63C1888C9FD108754E41,JCPenney - Town & Country Plaza in Searcy,301 N Poplar,(501) 268-2421,Arkansas,AR,retaining,24140,,,127.915148634565
64,0101000020E6100000C5909C4CDC715EC0E12879758EFF4240,0101000020110F0000E932890554DB69C1CE6283159E775141,JCPenney - Orchard @slatten Rch in Antioch,4951 Slatten Ranch Rd,(925) 752-9405,California,CA,retaining,24140,411000,,1021.85948698699
65,0101000020E6100000EEEE01BA2F835DC015C9570229114140,0101000020110F0000C8AF3A499F1069C189C231E4F0DF4E41,JCPenney - Westfld Santa Anita in Arcadia,400 S Baldwin Ave,(626) 445-6454,California,CA,retaining,24140,1096900,,319.295453910556
66,0101000020E6100000AC8BDB6800C25DC0F05014E813AB4140,0101000020110F000048B77C9DF84569C10941C4B50B0F5041,JCPenney - Valley Plaza in Bakersfield,2501 Ming Ave,(661) 835-7080,California,CA,retaining,24140,145100,,1693.94761081809
67,0101000020E61000005872158BDF4D5EC02C0C91D3D7E54240,0101000020110F00005E9E05A0C3BC69C11799247DF15B5141,JCPenney - Bishop Store,201 S Main St,(760) 873-4262,California,CA,closing,24140,311000,2014-02-12 00:00:00+00,842.201560760946
68,0101000020E61000008D7DC9C683E55DC0483140A209444240,0101000020110F000064587CEA216469C18862CB6A7EAF5041,JCPenney - Brea Mall,400 Brea Mall,(714) 671-2882,California,CA,retaining,24140,241500,,48.0657385455449
69,0101000020E610000061FE0A99AB735DC00CE6AF90B9EE4040,0101000020110F0000F1C67EC1710369C1546D4D2563994E41,JCPenney - Furniture Outlet in Buena Park,6141 Orangethorpe Ave,(714) 739-0104,California,CA,retaining,24140,670500,,20.6551838297518
70,0101000020E61000009207228B34CB5DC029EB3713D3194140,0101000020110F0000DC0A31AEC94D69C1B8161378BAF14E41,JCPenney - Calexico Store,315 E Second St,(760) 357-2629,California,CA,retaining,24140,463200,,6752.06886542043
71,0101000020E6100000ACE5CE4C30555DC05DFB027AE1964040,0101000020110F0000956B9E698EE968C167B44F7867E64D41,JCPenney - Plaza Camino Real in Carlsbad,2555 El Camino Real,(760) 729-7991,California,CA,retaining,24140,752300,,1875.51783103859
72,0101000020E61000004417D4B7CC905DC0A182C30B22EC4040,0101000020110F0000419E25172F1C69C1894285FC15944E41,JCPenney - Southbay Pav @carson,20700 Avalon Blvd,(310) 538-2900,California,CA,retaining,24140,490400,,342.833326796659
73,0101000020E6100000B4942C27A1735EC01C5C3AE63CDD4340,0101000020110F0000B02E66A1D4DC69C101AE5CD26E695241,JCPenney - Chico Mall,1932 E 20th St,(530) 899-8160,California,CA,retaining,24140,297700,,1921.70493241603
74,0101000020E6100000A6D425E3186D5DC059164CFC51FE4040,0101000020110F00005F3617A1DCFD68C1C5382F0850B94E41,JCPenney - Rancho Del Chino S/C,14659 Ramona Ave,(909) 393-5099,California,CA,retaining,24140,436200,,552.442328332934
75,0101000020E6100000450F7C0C569D5EC0863C821B29254340,0101000020110F00007CEB788540006AC1228907DC39A05141,JCPenney - Chula Vista S/C,591 Broadway,(619) 427-1050,California,CA,retaining,24140,677800,,1406.18533702979
76,0101000020E6100000AC70CB4752515EC001BD70E7C2564340,0101000020110F000049C08255B1BF69C13BCE6BBF0AD65141,JCPenney - Sunrise Mall in Citrus Heights,6100 Sunrise Blvd,(916) 726-8811,California,CA,retaining,24140,302300,,2320.34099862299
77,0101000020E6100000B4006DAB59515DC087DBA16131F84040,0101000020110F0000898940DD4BE668C12AD7008CC3AC4E41,JCPenney - Sun Valley Mall in Concord,484 Sun Valley Mall,(925) 687-6000,California,CA,retaining,24140,257700,,2764.69139504166
78,0101000020E61000008D7DC9C683E55DC0483140A209444240,0101000020110F000064587CEA216469C18862CB6A7EAF5041,JCPenney - Fox Hills Mall in Culver City,6000 S Hannum Ave,(310) 390-8966,California,CA,retaining,24140,241500,,48.0657385455449
79,0101000020E61000008FE4F21FD2805EC0BD8BF7E3F6A94240,0101000020110F0000397293B108E869C1C47C22DFC91B5141,JCPenney - Cupertino Square,10150 N Wolfe Rd,(408) 446-9600,California,CA,retaining,24140,1765800,,1261.68988105931
80,0101000020E61000008D7DC9C683E55DC0483140A209444240,0101000020110F000064587CEA216469C18862CB6A7EAF5041,JCPenney - Serramonte Ctr in Daly City,63 Serramonte Ctr,(650) 731-3401,California,CA,retaining,24140,241500,,48.0657385455449
81,0101000020E6100000E083D72E6D285EC0FBB2B45373B54440,0101000020110F000051ED1EEDF59C69C18E9AD7D9345B5341,JCPenney - Delano Store,Delano Store,(661) 725-0451,California,CA,retaining,24140,,,0.399399040827682
82,0101000020E61000005B087250C2875DC00F61FC34EEF74040,0101000020110F000087236D77811469C12179C7033AAC4E41,JCPenney - Stonewood S/C in Downey,100 Stonewood St,(562) 869-4541,California,CA,retaining,24140,536600,,2144.37220379371
83,0101000020E61000005F7AFB73D13D5DC0D9EE1EA0FB664040,0101000020110F000033FDC22DB5D568C1B67A6D3567854D41,JCPenney - Parkway Plaza in El Cajon,355 Fletcher Pkwy,(619) 444-3100,California,CA,retaining,24140,460100,,149.913711768124
84,0101000020E61000008D7DC9C683E55DC0483140A209444240,0101000020110F000064587CEA216469C18862CB6A7EAF5041,JCPenney - Imperial Valley Mall in El Centro,3351 S Dogwood,(760) 482-0092,California,CA,retaining,24140,241500,,48.0657385455449
85,0101000020E61000005280289831445DC05D1A1AAABD884040,0101000020110F0000C5DD5C5B1FDB68C11E1705CAB9C94D41,JCPenney - N County Fair Mall in Escondido,290 E Via Rancho Pkwy,(760) 480-4500,California,CA,retaining,24140,476600,,551.70439740419
86,0101000020E6100000E9EDCF4543835EC0BEA4315A47214340,0101000020110F0000389EC8A11BEA69C197F82EC4069C5141,JCPenney - Solano Mall in Fairfield,1330 Travis Blvd,(707) 422-0320,California,CA,retaining,24140,306700,,621.940864780752
87,0101000020E6100000BE4BA94BC6F15DC06138D73043674240,0101000020110F0000C0080F768B6E69C105A2BEABCAD45041,JCPenney - Fresno Fashion Fair,555 E Shaw Ave,(559) 224-8330,California,CA,retaining,24140,229500,,2329.38185751742
89,0101000020E61000008D7DC9C683E55DC0483140A209444240,0101000020110F000064587CEA216469C18862CB6A7EAF5041,JCPenney - Glendale Galleria,1169 Glendale Galleria,(818) 240-8700,California,CA,retaining,24140,241500,,48.0657385455449
90,0101000020E610000050C763062A445EC0DAE55B1FD6994340,0101000020110F0000B4DB6FAC84B469C123DB6573481F5241,JCPenney - Pinecreek Center in Grass Valley,732 Freeman Lane,(530) 273-6621,California,CA,retaining,24140,354500,,346.53248422934
91,0101000020E61000001DC87A6AF5EA5DC00491459A78294240,0101000020110F00001EDCCB88C16869C14504329873935041,JCPenney - Hanford Mall,1671 W Lacey Blvd,(559) 582-3484,California,CA,retaining,24140,178600,,1149.99117244513
92,0101000020E6100000CAFACDC474865EC068CBB91457D34240,0101000020110F00002D677FEED1EC69C193C21A7413485141,JCPenney - Southland Mall in Hayward,340 Southland Mall,(510) 783-0300,California,CA,retaining,24140,552300,,1378.00288114991
93,0101000020E610000031D3F6AFAC3F5DC03EB14E95EFDF4040,0101000020110F00007C5A9FCB48D768C1D87694A0277B4E41,JCPenney - Hemet Valley Mall,2200 W Florida Ave,(951) 652-5054,California,CA,retaining,24140,239800,,3242.9794283399
94,0101000020E61000008D7DC9C683E55DC0483140A209444240,0101000020110F000064587CEA216469C18862CB6A7EAF5041,JCPenney - Gage & Pacific Store in Huntington Park,6420 S Pacific Blvd,(323) 587-3261,California,CA,retaining,24140,241500,,48.0657385455449
95,0101000020E6100000CC423BA7596E5DC069E1B20A9BF94040,0101000020110F0000C06E4E0EEDFE68C19FC13710A8AF4E41,JCPenney - Laguna Hills Mall,24200 Laguna Hills Mall,(949) 581-7700,California,CA,retaining,24140,602000,,68.9758607692129
96,0101000020E61000000725CCB4FD885DC0A20C553195EC4040,0101000020110F0000148F3B548D1569C10917E77B01954E41,JCPenney - Lakewood Ctr Mall,67 Lakewood Ctr Mall,(562) 634-7000,California,CA,retaining,24140,515100,,1171.8149903523
97,0101000020E61000003B71395E81535EC0C8CF46AE9B0E4340,0101000020110F0000B11CD52A8CC169C1D403B023DA875141,JCPenney - Sunset Plaza in Lodi,2422 W Kettleman Lane,(209) 367-1221,California,CA,closing,24140,332400,2016-09-08 00:00:00+00,2619.13922166895
98,0101000020E610000091CDFA39AA375EC06C3C7DA944874240,0101000020110F0000A8516F15E7A969C140BB2923CCF65041,JCPenney - San Luis Plaza in Los Banos,951 W Pacheco Blvd,(209) 826-5150,California,CA,retaining,24140,,,822.546830113155
99,0101000020E6100000BD344580D34E5EC0E8F4BC1B0BE44240,0101000020110F0000826D88D192BD69C18ACF6A5C025A5141,JCPenney - Prom Shop@orchd Vlly in Manteca,1060 Perimeter Dr,(209) 923-6233,California,CA,retaining,24140,367400,,1044.0108807416
100,0101000020E61000008D7DC9C683E55DC0483140A209444240,0101000020110F000064587CEA216469C18862CB6A7EAF5041,JCPenney - Merced Mall,600 Merced Mall,(209) 723-3112,California,CA,retaining,24140,241500,,48.0657385455449
101,0101000020E6100000FCC6D79E59435EC00F9A5DF756D84240,0101000020110F0000D98FF3ACD3B369C1C2DD74BD704D5141,JCPenney - Vintage Faire Mall in Modesto,3401 Dale Rd,(209) 527-5000,California,CA,retaining,24140,301000,,1093.91039386518
102,0101000020E6100000C8242367616C5DC0A532C51C040B4140,0101000020110F00006555BFCB40FD68C1AE78FD0556D34E41,JCPenney - Montclair Plaza,5100 Montclair Plaza Lane,(909) 621-3811,California,CA,retaining,24140,369800,,888.897325413522
103,0101000020E61000008B18761893855DC0C0B0FCF9B6044140,0101000020110F0000F9579B85A61269C18563B0806AC64E41,JCPenney - Montebello Mall,1600 Town Center Dr,(323) 727-7833,California,CA,retaining,24140,490400,,416.79442716586
104,0101000020E6100000A1866F61DD595EC0508BC1C3B44F4340,0101000020110F00004CD0C0D6F2C669C16D05B7965ECE5141,JCPenney - Moreno Valley Mall,22450 Town Cir,(951) 653-1055,California,CA,retaining,24140,299200,,3108.53440002918
105,0101000020E6100000C631923D42445DC0EA2285B2F0534040,0101000020110F0000D000957E2DDB68C1B632A0C4F35E4D41,JCPenney - Plaza Bonita in National City,3040 Plaza Bonita Rd,(619) 267-6000,California,CA,retaining,24140,608600,,675.887366227159
106,0101000020E6100000ECDB4944F87F5EC0E09D7C7A6CC34240,0101000020110F00003EF6AFAA4FE769C17A29C54D04375141,JCPenney - Newpark Mall in Newark,500 Newpark Mall,(510) 796-6160,California,CA,retaining,24140,703300,,2059.30374956471
107,0101000020E61000006D74CE4F71A35DC0D3156C239E1E4140,0101000020110F000088D6A974042C69C183218E2393FB4E41,JCPenney - Northridge Fash Ctr,9301 Tampa Ave,(818) 885-1464,California,CA,retaining,24140,563100,,1044.81572074062
108,0101000020E61000005D5320B3B3755DC01B9B1DA9BEE94040,0101000020110F00008971817A2B0569C1043E08BF338F4E41,JCPenney - Village @ Orange,2200 N Tustin St,(714) 998-9700,California,CA,closing,24140,591900,2014-10-01 00:00:00+00,1793.11506455479
109,0101000020E61000008D7DC9C683E55DC0483140A209444240,0101000020110F000064587CEA216469C18862CB6A7EAF5041,JCPenney - Westfld Shoppingtown in Palm Desert,72900 Hwy 111,(760) 346-1511,California,CA,retaining,24140,241500,,48.0657385455449
110,0101000020E61000008D7DC9C683E55DC0483140A209444240,0101000020110F000064587CEA216469C18862CB6A7EAF5041,JCPenney - Antelope Valley Mall in Palmdale,1131 W Rancho Vista Blvd,(661) 947-3169,California,CA,retaining,24140,241500,,48.0657385455449
