food_form,rating,weight,lifestage,cost,food_texture,size,category,fish_type,dimensions,special_diet,toy_feature,product_name,item_number,small_pet_type,brand,material,old_cost,no_reviews,supplement_form,reptile_type,bed_type,made_in,product_description,bird_type,breed_size,page,percent_rec
,4.2,1.6ounces,,$10.95,,None,Cat Toys,,"7
________________________x_3
____________________________x_3inches",,,Pet Fit For Life,109318,,,,None,None,,,,,Pet Fit For Life Replacement Feathers for Wand Cat Toy,,,2,100
,4.4,,,$3.86,,None,Cat Toys,,,,"catnip,_noisemaking",Pet Zone,55741,,our_pet's,,$6.99,75,,,,,Pet Zone Play-N-Squeak MouseHunter Cat Toy,,,2,86
,4.7,,"adult,_all_stages",$30.83,,None,Cat Toys,,"11.75
________________________x_15.5
____________________________x_3inches",,,Trixie,107255,,,"plastic,_rubber",$34.85,15,,,,,"Trixie Cat Activity Fun Board 5-in-1 Cat Toy, White",,,2,93
,4.8,,"all_stages,_adult",$3.99,,None,Cat Toys,,"7
________________________x_1
____________________________x_1inches",organic,catnip,Yeowww!,102780,,,cotton,$4.99,14,,,,united_states,"Yeowww! Catnip Cigar It's a Girl Cat Toy, Pink",,,2,100
,4.9,9.6ounces,,$9.95,,None,Cat Toys,,"33
________________________x_2
____________________________x_2inches",,,Pet Fit For Life,109320,,,,None,None,,,,,Pet Fit For Life Feather Wand Cat Toy,,,2,100
,4.4,,kitten,$2.98,,None,Cat Toys,,"6.75
________________________x_3.75
____________________________x_1.25inches",,catnip,KONG,91346,,,,$7.99,22,,,,,KONG Kitten Teddy Bear Cat Toy,,all_breeds,2,89
,4.3,,"adult,_all_stages",$19.95,,None,Cat Toys,,"23.5
________________________x_23.5
____________________________x_3.2inches",,,Petlinks,102632,,,"polyester,_plastic",$34.99,46,,,,,Petlinks Mystery Motion Concealed Electronic Motion Cat Toy,,,2,85
,3.4,,"adult,_all_stages",$2.79,,None,Cat Toys,,,,,Petlinks,102648,,,"polyester,_plastic",$6.99,None,,,,,Petlinks Plume Crazy Wand Cat Toy,,,2,56
,4.5,,,$13.99,,None,Cat Toys,,"37.5
________________________x_3.06
____________________________x_1.92inches",,,Outward Hound,85934,,kyjen,,$16.99,120,,,,,"Outward Hound Tail Teaser with Refill Pet Toy, Tail Teaser with Refill",,,2,88
,4.2,,"adult,_all_stages",$2.59,,None,Cat Toys,,,,catnip,Petstages,105803,,,,$3.99,15,,,,,Petstages Night Time Catnip Rolls Cat Toy,,,2,93
,4.9,,,$7.97,,None,Cat Toys,,,,,Penn-Plax,103731,,,,$8.99,29,,,,,"Penn-Plax Purr Pet Bag of Mice Cat Toy, 12 count",,,2,100
,4.2,,"adult,_all_stages",$6.90,,None,Cat Toys,,"3
________________________x_3
____________________________x_15inches",,,Petlinks,102675,,,plastic,$24.99,18,,,,,Petlinks Wild Thing Electronic Motion Ball Cat Toy,,,2,88
,4.3,,,$2.39,,None,"Small Pet Beds, Hideouts & Toys",,,,,Kaytee,101500,rabbit,,,$6.77,None,,,,united_states,"Kaytee Perfect Chews Rabbit Toy, 6.5-inch",,,2,89
,4.2,,,$4.38,,None,Dog Toys,,,,noisemaking,KONG,62767,,,,$9.99,103,,,,,KONG Cozie Floppy the Rabbit Dog Toy,,"large,_medium,_small",2,83
,4.3,,,$2.99,,None,Cat Toys,,"5
________________________x_4
____________________________x_0.5inches",,catnip,Petlinks,107632,,,,$4.89,20,,,,,"Petlinks Tea Zing 100% Catnip Filled Cat Toy, 3 count",,,2,85
,4.6,,,$2.89,,None,Cat Toys,,"5
________________________x_4
____________________________x_1.13inches",,,Petlinks,107636,,,,None,23,,,,,Petlinks Fun Beam Laser Cat Toy,,,2,91
,4.6,,"adult,_all_stages",$3.29,,None,Cat Toys,,,,catnip,Our Pet's,55685,,our_pet's,,$6.99,60,,,,,Our Pet's Hot Stuff Cat Toy,,,2,89
,4.5,,,$1.99,,None,Cat Toys,,,,,SmartCat,64222,,pioneer_pet,,$5.08,57,,,,,"SmartCat Toy Box Balls, 3-Pack (Color Varies)",,,2,85
,4.8,7.2pounds,,$49.95,,None,Cat Toys,,"34
________________________x_10.5
____________________________x_10.5inches",,catnip,PetFusion,63376,,,recycled_materials,$52.99,145,,,,,PetFusion Ultimate Cat Scratcher Lounge,,,2,96
,4.2,,,$15.53,,None,Cat Toys,,,,,Catit,64949,,hagen,,$31.99,209,,,,,Catit Design Senses Circuit Cat Toy,,,2,85
,5,0.6ounces,,$2.96,,None,Cat Toys,,"9
________________________x_3.8
____________________________x_0.8inches",,catnip,KONG,84477,,,wool,$6.62,None,,,,,"KONG Tropics Fish Catnip Toy, Pink",,,3,100
,4.5,,"adult,_all_stages",$4.97,,None,Cat Toys,,"8
________________________x_4
____________________________x_1inches",,,Easyology,108117,,,,$9.99,None,,,,,Easyology Premium KittyStick Feather Cat Toy with Expandable Rod,,,3,100
,4.2,,all_stages,$2.59,,None,Cat Toys,,"3.25
________________________x_0.75
____________________________x_0.75inches",,,Ethical Pet,90223,,spot,,$6.68,34,,,,,"Ethical Pet Kitty Fun Tubes Cat Toy, 3 count, 3.25-in",,,3,78
,3.6,,,$2.99,,None,Cat Toys,,,,catnip,Petstages,62044,,,,$4.99,40,,,,,Petstages Fresh Breath Mint Stick Cat Toy,,,3,62
,4.8,,"adult,_all_stages",$4.29,,None,Cat Toys,,,,catnip,Our Pet's,55687,,our_pet's,,$10.05,36,,,,,Our Pet's Annette Fish Cat Toy,,,3,94
,4.5,,,$2.99,,None,Cat Toys,,,,catnip,Petstages,64672,,,,$5.99,60,,,,,Petstages Catnip Chew Mice Cat Toy,,,3,92
,3.9,,,$6.97,,None,Cat Toys,,,,noisemaking,JW Pet,53409,,petmate,,$8.77,35,,,,,JW Pet Cataction Fish Ball Cat Toy,,,3,79
,4.2,,,$2.49,,None,Cat Toys,,"0.5
________________________x_4.1
____________________________x_9inches",,catnip,Hartz,82858,,,,$5.01,42,,,,,Hartz Just for Cats Gone Fishin' Cat Toy,,,3,93
,4,,"all_stages,_adult",$17.95,,None,Cat Toys,,,,,PetSafe,70843,,premier,plastic,$24.99,78,,,,,PetSafe FroliCat Bolt Interactive Laser Pet Toy,,,3,86
,3.8,,,$1.84,,None,Cat Toys,,,,,Cat Dancer,64415,,,,$6.84,20,,,,united_states,"Cat Dancer Bowtie Chasers Cat Toy, 2 count",,,3,83
,4.6,,"all_stages,_adult",$9.29,,None,Cat Toys,,"4
________________________x_1
____________________________x_5inches",organic,catnip,Yeowww!,104516,,,cotton,$11.52,22,,,,united_states,"Yeowww! Stinkies Catnip Sardines Cat Toys, 3 count",,,3,95
,4.6,,,$1.99,,None,Cat Toys,,"2
________________________x_4.75
____________________________x_6inches",,noisemaking,Hartz,82852,,,,$6.70,18,,,,,Hartz Just for Cats Bizzy Balls Cat Toy,,,3,88
,3.9,,,$11.08,,None,Cat Toys,,,,,KONG,73761,,,,$21.28,59,,,,,KONG Glide 'N Seek Cat Toy,,,3,76
,4.8,,,$4.21,,None,Cat Toys,,,,,Go Cat,108852,,,,$5.95,11,,,,united_states,Go Cat Da Bird Cat Catcher Da Purr Peller Teaser Wand Replacement Cat Toy,,,3,100
,4.8,2.29pounds,,$7.89,,None,Cat Toys,,"1.5
________________________x_5.9
____________________________x_13.5inches",,catnip,Fat Cat,83997,,petmate,,$12.99,85,,,,,Fat Cat Boogie Mat for de Cat,,,3,95
,4.4,,"adult,_all_stages",$6.99,,None,Cat Toys,,"5
________________________x_3
____________________________x_1.5inches",,"catnip,_noisemaking",SmartyKat,102758,,,polyester,$8.35,29,,,,,SmartyKat Electronic Chirping Crickit Cat Toy,,,3,86
,5,,,$3.80,,None,Cat Toys,,"9.75
________________________x_3.75
____________________________x_1.25inches",,catnip,KONG,91356,,,,$6.89,None,,,,,KONG Pillow Critters Cat Toy,,all_breeds,3,100
,3.6,,,$4.99,,None,Cat Toys,,,,,Pet Qwerks,102278,,,,$5.98,None,,,,,"Pet Qwerks Incredibubbles for Dogs & Cats, Peach",,,3,62
,4.6,1.6ounces,,$4.99,,None,Cat Toys,,"18
________________________x_3.8
____________________________x_0.8inches",,catnip,KONG,84488,,,wool,$7.99,22,,,,,"KONG Tropics Fish Teaser Cat Toy, Purple",,all_breeds,3,95
,3.7,,,$16.99,,None,Cat Toys,,,,catnip,Four Paws,67213,,,,$25.99,81,,,,,"Four Paws Super Catnip 21"" Tall Carpet & Sisal Scratching Post",,,3,75
,3,,,$1.25,,None,Cat Toys,,,,catnip,Petstages,62030,,,,$3.99,61,,,,,Petstages ORKAkat Wiggle Worm Cat Toy,,,3,50
,4.2,,"adult,_all_stages",$14.99,,None,Cat Toys,,"15.25
________________________x_7
____________________________x_6.875inches",,catnip,Petlinks,102661,,,,$24.99,12,,,,,Petlinks Sea Ramp Seagrass Scratching Post with Catnip,,,3,83
,3,,,$5.80,,Mouse,Cat Toys,,"15
________________________x_12.25
____________________________x_3.25inches",,,KONG,91322,,,,$17.52,18,,,,,KONG Puzzle Cat Toy,,all_breeds,3,41
treats,4.7,,"adult,_all_stages",$2.59,,None,Cat Toys,,,,,Bergan,79195,,coastal_pet_products,,$3.99,None,,,,,Bergan Turbo Scratcher Cat Grass Refill,,,4,100
,4.3,,,$2.92,,None,Cat Toys,,"7
________________________x_4.25
____________________________x_1.5inches",,,KONG,91319,,,,$6.45,15,,,,,KONG Tennis Balls with Bells Cat Toy,,all_breeds,3,71
,4.6,,,$6.29,,None,Cat Toys,,,,,Go Cat,108844,,,,$8.95,12,,,,united_states,Go Cat Cat Catcher Teaser Wand Cat Toy,,,3,91
,4.2,,,$2.39,,None,Cat Toys,,,,"catnip,_noisemaking",Multipet,68011,,,,$4.49,38,,,,,Multipet Look Who's Talking Chicken Cat Toy,,,3,84
,4.9,,"all_stages,_adult",$4.99,,None,Cat Toys,,"7
________________________x_1
____________________________x_1inches",organic,catnip,Yeowww!,102766,,,cotton,$5.24,42,,,,united_states,Yeowww! Catnip Cigar Cat Toy,,,3,100
,4.6,,"all_stages,_adult",$5.70,,None,Cat Toys,,"6
________________________x_1
____________________________x_5inches",organic,catnip,Yeowww!,102811,,,cotton,$7.99,28,,,,united_states,Yeowww! Catnip Rainbow Cat Toy,,,3,93
treats,3.8,,"adult,_all_stages",$3.89,,None,Cat Toys,,,,,Temptations,89620,,,,$3.99,47,,,,,"Temptations Snacky Mouse Cat Treat Toy, .42-oz bag with toy",,,3,80
,4.4,,,$5.99,,None,Cat Toys,,"2
________________________x_5.13
____________________________x_7.38inches",,catnip,Hartz,82862,,,,$20.99,30,,,,,"Hartz Just for Cats Kitty Frenzy Cat Toy, 12 count",,all_breeds,3,87
,4.7,,,$3.99,,None,Cat Toys,,,,"catnip,_noisemaking",Our Pet's,55726,,our_pet's,,$38.40,13,,,,,Our Pet's Backyard Squeaking Skunk Cat Toy,,,4,92
,4.7,,,$4.43,,None,Cat Toys,,,,catnip,Petstages,64657,,,,$7.99,63,,,,,"Petstages Magic Dynamite Cat Toy, Green",,,4,93
,4.3,0.08ounces,"all_stages,_adult",$3.59,,None,Cat Toys,,,,catnip,Vitakraft,83244,,sunseed,,$32.00,20,,,,,"Vitakraft Purrk! Playfuls Silvervine Catnip Alternative Refill, 5 pack",,,4,84
,4,,,$5.99,,None,Cat Toys,,,,,PetSafe,63701,,,,$7.99,39,,,,,PetSafe Funkitty Egg-Cersizer Cat Toy,,,4,82
,4.1,,,$4.13,,None,Cat Toys,,"24
________________________x_3.75
____________________________x_2.25inches",,,KONG,91380,,,,None,19,,,,,KONG Twisted Boa Teaser Cat Toy,,all_breeds,4,83
,3.5,,all_stages,$2.59,,None,Cat Toys,,"4
________________________x_1.25
____________________________x_1.25inches",,,Ethical Pet,90226,,spot,,$8.95,22,,,,,"Ethical Pet Kitty Fun Boppers Cat Toy, 4-inch, (Color Varies)",,,4,68
,4.6,,,$4.49,,None,Cat Toys,,,,catnip,Catit,64969,,hagen,,None,87,,,,,Catit Raffia Mouse on a Stick Cat Toy,,,4,95
,4.1,,,$9.54,,None,Cat Toys,,,,noisemaking,KONG,66572,,,,$29.99,59,,,,,"KONG Active Nylon Tunnel Cat Toy, Red",,,4,89
,3.8,,,$3.91,,None,Cat Toys,,,,,Go Cat,108842,,,,$3.99,None,,,,united_states,Go Cat Da Bird Fur Fun Teaser Wand Replacement Cat Toy,,,4,75
,4.6,,"all_stages,_adult",$9.69,,None,Cat Toys,,,organic,catnip,Yeowww!,103033,,,cotton,None,12,,,,united_states,"Yeowww! Catnip My Cats Balls Cat Toy, 3 count",,,4,83
,4.2,,,$5.50,,None,Cat Toys,,"16
________________________x_5
____________________________x_1.75inches",,catnip,Omega Paw,62552,,,,$6.99,26,,,,,Omega Paw Cat Scratch Box,,,4,81
,4.4,,,$4.15,,None,Cat Toys,,"5
________________________x_4
____________________________x_1inches",,,SmartyKat,107603,,,,$12.81,None,,,,,SmartyKat Feline Flash Laser Pointer Cat Toy,,,4,89
,2.8,1.33pounds,all_stages,$24.95,,None,Cat Toys,,"29
________________________x_5
____________________________x_2.5inches",,,Moody Pet,109143,,,,None,None,,,,,Moody Pet Fling-Ama-String Cat Toy,,,4,25
,3.8,,,$2.49,,None,Cat Toys,,,,,Ethical Pet,71456,,spot,,$6.00,37,,,,,"Ethical Pet Atomic Rubber Bouncing Ball Cat Toy, 2-pack",,,4,78
,4.3,,,$3.99,,None,Cat Toys,,"6
________________________x_3.9
____________________________x_2inches",,,Jackson Galaxy,99162,,petmate,,$7.01,31,,,,,"Jackson Galaxy Mojo Maker Ground Prey Cat Toy, Black",,all_breeds,4,87
,4.9,,"adult,_all_stages",$11.99,,None,Cat Toys,,"18
________________________x_9.5
____________________________x_1.88inches",,catnip,SmartyKat,102821,,,cardboard,$14.99,13,,,,,SmartyKat Super Scratcher+ with Catnip Cat Toy,,,4,100
,4.4,,,$14.99,,None,Cat Toys,,"15
________________________x_17
____________________________x_17inches",,catnip,Bergan,64240,,coastal_pet_products,,$26.49,63,,,,,Bergan Catnip Hurricane Cat Toy,,,4,90
,3.6,12ounces,all_stages,$14.95,,None,Cat Toys,,"14
________________________x_9
____________________________x_3.5inches",,,Cat Amazing,105304,,,cardboard,$16.15,13,,,,,Cat Amazing Best Cat Toy Ever! Interactive Treat Maze & Puzzle Toy,,,4,69
,4.3,,,$5.44,,None,Cat Toys,,,,catnip,Pioneer Pet,64216,,smartcat,,$7.29,57,,,,,"Pioneer Pet Catnip Toy Nip Nibblers, 3 count",,,4,82
,4.5,,,$3.94,,None,Cat Toys,,"7.5
________________________x_5
____________________________x_2inches",,catnip,SmartyKat,107607,,,,$8.87,None,,,,,SmartyKat Flicker Buddy Touch-Activated Cat Toy,,,4,100
,3.4,,,$4.47,,None,Cat Toys,,,,catnip,KONG,59317,,,,$5.55,51,,,,,"KONG Naturals Straw Balls Cat Toy, Straw Balls, 2-pack",,all_breeds,4,69
,4.5,,,$5.55,,None,Cat Toys,,,,,Booda,68552,,petmate,,$7.42,43,,,,,Booda Looney-Loops Cat Toy,,,4,89
,3.5,1.6ounces,"all_stages,_adult",$10.99,,None,Cat Toys,,"18
________________________x_1.5
____________________________x_0.5inches",,,Jackson Galaxy,113410,,petmate,plastic,$14.99,None,,,,,"Jackson Galaxy Air Prey Wand Teaser Cat Toy, Purple",,all_breeds,4,50
treats,3.3,9.2ounces,adult,$4.99,,None,Cat Toys,,,,,Friskies,89991,,purina,,$16.69,69,,,,united_states,"Friskies Pull 'n Play Play Pack Cat Treat Toy, 2 treats with toy",,,5,62
,4.2,,,$2.49,,None,Cat Toys,,"5
________________________x_4
____________________________x_1inches",,,Petlinks,107638,,,,$4.39,None,,,,,Petlinks 3 Blind Mice Cat Toy,,,5,80
,3.8,,"adult,_all_stages",$4.97,,None,Cat Toys,,"18
________________________x_4.75
____________________________x_1.88inches",,catnip,SmartyKat,102818,,,cardboard,$8.99,None,,,,,SmartyKat Super Scratcher with Catnip Cat Toy,,,5,67
,4,,"adult,_all_stages",$23.69,,None,Cat Toys,,"9.63
________________________x_7.25inches",,,SmartyKat,102790,,,plastic,$24.99,11,,,,,SmartyKat Loco Motion Electronic Cat Toy,,,5,89
,3.7,,,$11.05,,None,Cat Toys,,"15
________________________x_10
____________________________x_16inches",,,Bergan,64236,,coastal_pet_products,,$19.99,38,,,,united_states,Bergan Turbo Track Cat Toy,,,5,71
,5,,,$13.29,,None,Cat Toys,,,,,Neko Flies,57669,,neko_chan,,$13.99,72,,,,,Neko Flies Kattipede Centipede Cat Toy,,,5,100
,3.9,,"adult,_all_stages",$3.69,,None,Cat Toys,,"3.5
________________________x_1.5
____________________________x_1.5inches",,catnip,Petlinks,102630,,,polyester,$7.99,11,,,,,Petlinks Lil' Creepers Refillable Catnip Cat Toy,,,5,80
,3.2,,,$6.68,,None,Cat Toys,,"16
________________________x_4.5
____________________________x_0.3inches",,catnip,Omega Paw,62559,,,,$10.99,17,,,,,Omega Paw Door Hanging Cat Scratchy Pad,,,5,38
,4.4,,,$2.49,,None,Cat Toys,,,,noisemaking,Petstages,64659,,,,$5.99,36,,,,,Petstages Twice Mice Cat Toy,,,5,94
,5,0.64ounces,,$5.00,,None,Cat Toys,,"1
________________________x_1
____________________________x_12inches",,,SmartyKat,110545,,,,$7.99,None,,,,,SmartyKat Hot Pursuit Replacement Wands,,,5,100
,5,,"all_stages,_adult",$24.93,,None,Cat Toys,,,,,Zanies,104871,,tops_pet_products,polyester,$30.29,11,,,,,"Zanies Furry Mice Cat Toys, Realistic Colors, 60-count",,,5,100
,4.4,,kitten,$3.43,,None,Cat Toys,,"6.75
________________________x_3.75
____________________________x_1.25inches",,catnip,KONG,91344,,,,$6.50,None,,,,,KONG Kitten Mice Cat Toy,,all_breeds,5,100
,4,,,$9.86,,None,Cat Toys,,"10
________________________x_11
____________________________x_11inches",,catnip,Bergan,64238,,coastal_pet_products,,$12.99,23,,,,,Bergan Catnip Cyclone Cat Toy,,,5,78
,3.8,,,$6.65,,None,Cat Toys,,"7.5
________________________x_5
____________________________x_1.75inches",,,Petlinks,107643,,,,None,None,,,,,Petlinks Bird Cage Motion-Activated Chirping Cat Toy,,,5,75
,3.1,,"adult,_all_stages",$20.71,,Large,Cat Toys,,"11.5
________________________x_11.5
____________________________x_18inches",,catnip,Petlinks,102646,,,,$29.99,None,,,,,Petlinks Pillar Pawz Sisal Cat Scratching Post with Catnip Feather Toy,,,5,57
,4,,,$4.19,,None,Cat Toys,,,,catnip,Multipet,78632,,,,$8.99,23,,,,,Multipet Katz Kickerz Cat Toy,,,5,77
,4.7,,,$12.99,,None,Cat Toys,,,,catnip,Fat Cat,68607,,petmate,,$19.99,21,,,,,Fat Cat Big Mama's Scratch 'N Play Ramp,,,5,95
,4.3,,,$10.67,,None,Cat Toys,,"13
________________________x_9.5
____________________________x_4.25inches",,catnip,KONG,91326,,,,$18.69,11,,,,,KONG Cat Playground Cat Toy,,all_breeds,5,89
,4.5,2.5pounds,,$22.14,,None,Cat Toys,,"19.7
________________________x_10.2
____________________________x_3.25inches",,catnip,PetFusion,81867,,,recycled_materials,$24.95,24,,,,,"PetFusion Cat Scratcher Flip Pad, White",,,5,83
,4,,,$8.75,,None,Cat Toys,,,,,Go Cat,108834,,,,None,None,,,,united_states,Go Cat Da Bird Super Pheasant Feather Teaser Wand Replacement Cat Toy,,,5,67
,5,3.52ounces,"all_stages,_adult",$11.03,,None,Cat Toys,,"18
________________________x_1.5
____________________________x_0.5inches",,,Jackson Galaxy,113415,,petmate,,$19.99,None,,,,,"Jackson Galaxy Mojo Maker Air Prey Laser Wand Teaser Cat Toy, Blue",,all_breeds,5,100
,4,,,$15.08,,None,Cat Toys,,,,"noisemaking,_catnip",Four Paws,67543,,,,$33.99,36,,,,,Four Paws Super Catnip Crazy Pants Cat Tunnel,,,5,83
,4.5,,,$3.49,,None,Cat Toys,,,,,KONG,59309,,,,$6.49,81,,,,,KONG Laser Cat Toy,,,5,90
,5,0.64ounces,,$5.71,,None,Cat Toys,,"1
________________________x_1
____________________________x_12inches",,,Petlinks,110543,,,,$9.99,None,,,,,Petlinks Mystery Motion Replacement Wands,,,5,100
,3.9,,,$3.98,,None,Cat Toys,,"4
________________________x_6
____________________________x_1.5inches",,catnip,Jackson Galaxy,99170,,petmate,,$5.25,11,,,,,"Jackson Galaxy Puma Paw Cat Toy, Multi-Colored",,all_breeds,5,64
,4.3,,,$6.99,,None,Cat Toys,,,,,Bergan,72072,,coastal_pet_products,,$11.49,18,,,,,Bergan Scratcher Cat Grooming Arch,,all_breeds,5,94
,4.4,,,$3.49,,None,Cat Toys,,,,catnip,Fat Cat,68611,,petmate,,$4.49,45,,,,,Fat Cat Classic Tail Chaser Cat Toy,,,5,88
,3.9,,,$2.49,,None,Cat Toys,,,,noisemaking,JW Pet,53411,,petmate,,$6.30,25,,,,,JW Pet Cataction Rattle Ball Cat Toy,,,5,78
,3.7,,"adult,_all_stages",$10.24,,None,Cat Toys,,"20
________________________x_5inches",,catnip,Petlinks,102663,,,,$19.99,18,,,,,Petlinks Sisal Solution Hanging Scratcher with Catnip Feather Cat Toy,,,6,81
,3.4,,"adult,_all_stages",$7.49,,None,Cat Toys,,"2.9
________________________x_2.9
____________________________x_9inches",,,SmartyKat,102745,,,"plastic,_polyester",$16.99,16,,,,,SmartyKat Feather Whirl Electronic Motion Cat Toy,,,5,62
,4.8,,,$17.68,,None,Cat Toys,,"17.13
________________________x_9.25
____________________________x_3.88inches",,,SmartyKat,107599,,,cardboard,$25.15,None,,,,,SmartyKat Chaise Corrugated Lounge with Catnip Cat Scratcher,,,6,100
,4,,,$3.97,,None,Cat Toys,,"4
________________________x_3.45
____________________________x_1inches",,,SmartyKat,107597,,,recycled_materials,$28.05,None,,,,,SmartyKat Loco Motion Cat Toy,,,6,100
,5,,,$5.09,,None,Cat Toys,,,,,Go Cat,108817,,,,$8.15,None,,,,united_states,Go Cat Da Bird Original Feather Teaser Wand Replacement Cat Toy,,,6,100
,4.3,,,$7.50,,None,Cat Toys,,,,catnip,Catit,64963,,hagen,,$8.05,81,,,,,"Catit Cornhusk & Raffia Mice Cat Toy, 2 count",,,6,86
,2.6,,,$5.65,,None,Cat Toys,,"9.75
________________________x_6
____________________________x_6inches",,noisemaking,KONG,91330,,,,$10.99,None,,,,,KONG CrissCross Cat Toy,,all_breeds,6,25
,3.1,,,$3.99,,None,Cat Toys,,,,catnip,Ethical Pet,71331,,spot,,$7.44,25,,,,,Ethical Pet Birds Of A Feather with Catnip Cat Toy,,,5,62
,4.2,,,$3.69,,Bird,Cat Toys,,"18
________________________x_4
____________________________x_0.75inches",,catnip,KONG,91387,,,,$8.01,38,,,,,KONG Tropics Teaser Cat Toy,,all_breeds,6,84
,3.4,,,$3.80,,None,Cat Toys,,"7
________________________x_3.75
____________________________x_1.75inches",,catnip,KONG,91324,,,,$5.39,12,,,,,KONG Cork Ball Cat Toy,,all_breeds,6,67
,4.9,,,$12.99,,None,Cat Toys,,,,,Go Cat,108850,,,,None,None,,,,united_states,Go Cat Da Bird Cat Catcher Da Purr Peller Teaser Wand Cat Toy,,,6,100
,2.2,,,$13.14,,None,Cat Toys,,,,,Catit,64943,,hagen,,$21.99,23,,,,,Catit Design Senses Massage Center,,,6,32
