food_form,rating,weight,lifestage,cost,food_texture,size,category,fish_type,dimensions,special_diet,toy_feature,product_name,item_number,litter_and_bedding_type,small_pet_type,brand,material,no_reviews,litter_box_type,old_cost,supplement_form,reptile_type,bowl_feature,bed_type,made_in,product_description,leash_and_collar_feature,bird_type,breed_size,page,percent_rec
,4.7,,"adult,_all_stages",$13.99,,None,Cat Vitamins & Supplements,,,,,Tomlyn,72314,,,,,61,,$23.96,liquid,,,,,"Tomlyn Natural Pet Pharmaceuticals Urinary Tract Irritations Homeopathic Cat Supplement, 4-oz bottle",,,,1,95
,4.3,8ounces,"adult,_all_stages",$23.99,,8-oz bottle,Cat Vitamins & Supplements,,,,,Oratene,83085,,,zymox,,92,,$36.99,liquid,,,,,Oratene Brushless Oral Care Water Additive for Dogs & Cats,,,,1,91
,4.5,,adult,$24.99,,None,Cat Vitamins & Supplements,,,,,Nutramax,50684,,,dasuquin,,70,,$29.99,tablet/capsule,,,,united_states,"Nutramax Dasuquin Joint Health Cat Supplement, 84 count",,,,1,93
,4.6,2.08ounces,all_stages,$12.71,,None,Cat Vitamins & Supplements,,,,,Nordic Naturals,50590,,,,,48,,$14.95,liquid,,,,united_states,"Nordic Naturals Omega-3 Pet Cats & Small Breed Dog & Cat Supplement, 2-oz bottle",,,"extra_small,_small",1,96
,4.7,,kitten,$3.59,,None,Cat Vitamins & Supplements,,,,,Whiskas,81469,,,,,52,,$5.32,liquid,,,,,"Whiskas Cat Milk, 6.75-oz carton, 3-pack",,,,1,92
,4.5,,"all_stages,_adult",$14.19,,None,Cat Vitamins & Supplements,,,,,VetriScience,57622,,,,,99,,$19.99,powdered,,,,united_states,"VetriScience Perio Support Everyday Health Dog & Cat Powder Formula, 4.2-oz bottle",,,,1,96
,4.9,,"kitten,_all_stages",$2.89,,11-oz can,Cat Vitamins & Supplements,,,,,PetAg,97831,,,,,30,,$7.99,liquid,,,,united_states,PetAg KMR Kitten Milk Replacer Liquid,,,,1,100
,4.3,8.0pounds,"puppy,_adult",$32.99,,Large,Dog Beds & Mats,,"51
________________________x_31.5
____________________________x_8inches",,,Coolaroo,88991,,,,stainless_steel,13,,$39.95,,,,"elevated,_outdoor",,"Coolaroo Steel-Framed Elevated Pet Bed, Charcoal",,,"large,_giant",2,92
,4.6,,"puppy,_adult",$26.20,,None,Dog Beds & Mats,,"36
________________________x_27
____________________________x_3inches",,,Aspen Pet,68565,,,petmate,,40,,$36.18,,,,pillow,,Aspen Pet Quilted Classic Applique Dog Bed,,,medium,2,92
,4.7,8.6pounds,"adult,_all_stages",$59.99,,Medium,Dog Beds & Mats,,"43
________________________x_27inches",,,Arf Pets,112037,,,,,None,,None,,,,cooling,,Arf Pets Self Cooling Crate Mat,,,"medium,_large",2,100
,4.5,6.08ounces,"kitten,_puppy,_adult",$15.29,,None,Dog Beds & Mats,,"16
________________________x_16
____________________________x_6inches",,,Aspen Pet,83873,,,petmate,,43,,$25.60,,,,pillow,,Aspen Pet Puffy Round Dog & Cat Bed,,,,2,92
,5,,"adult,_all_stages",$14.39,,Large,Dog Beds & Mats,,"35
________________________x_23.6
____________________________x_0.02inches",,,The Green Pet Shop,105755,,,,,None,,$17.99,,,,replacement_/_cover,,The Green Pet Shop Self-Cooling Pet Pad Cover,,,large,2,100
,4.5,,"puppy,_adult",$27.46,,Large,Dog Beds & Mats,,"30
________________________x_42inches",,,K&H Pet Products,78459,,,,,35,,$32.99,,,,elevated,,"K&H Pet Products Pet Cot Canopy, Tan",,,,2,91
,4.5,,,$14.24,,None,Dog Flea & Tick,,,,,Virbac,68930,,,,,24,,$18.30,,,,,united_states,"Virbac Knockout Area Treatment Spray, 14-oz can",,,,2,88
,3.6,,"puppy,_adult",$19.99,,None,Dog Flea & Tick,,,,,Virbac,81446,,,,,None,,$37.66,,,,,,"Virbac Effitix Topical Solution for Dog, 23-44.9 lbs",,,medium,2,60
,4.7,,,$7.49,,None,Dog Flea & Tick,,,,,Adams,74681,,,,,None,,$12.99,,,,,,"Adams Plus Flea & Tick Pyrethrin Pet Dip, 4-oz bottle",,,,2,86
,5,,,$7.22,,None,Dog Flea & Tick,,,,,Vet's Best,60204,,,,,None,,$16.49,,,,,united_states,"Vet's Best Flea Itch Relief Shampoo for Dogs, 16-oz bottle",,,,2,100
,3.7,,adult,$15.99,,None,Dog Flea & Tick,,,,,Sentry,91813,,,sergeant's,,12,,$34.99,,,,,,Sentry Pro XFT40 Flea & Tick Squeeze-On Dogs (40-60 lbs),,,large,2,64
,3.8,,,$13.99,,None,Dog Flea & Tick,,,,,Adams,74677,,,,,None,,$16.99,,,,,,"Adams Plus Flea & Tick Yard Spray, 32-oz spray",,,,2,88
,2.7,,"adult,_all_stages",$4.86,,None,Dog Flea & Tick,,,,,Hartz,106213,,,,,None,,$5.84,,,,,united_states,"Hartz UltraGuard Flea & Tick Treatment for Dogs & Puppies 31-60 lbs, 3 treatments",,,"medium,_large",2,67
,4,,"kitten,_adult,_senior",$31.89,,None,Cat Vitamins & Supplements,,,,,Feliway,94182,,,ceva,,118,,None,,,,,,"Feliway 30 Day Starter Kit Plug-In Diffuser & Refill, 48-ml",,,all_breeds,2,84
,4.5,5.44ounces,all_stages,$21.53,,5.5-oz bottle,Cat Vitamins & Supplements,,"2.75
________________________x_2.75
____________________________x_5.25inches",,,Glandex,83731,,,,,55,,$32.39,powdered,,,,united_states,Glandex Anal Gland Support for Dogs & Cats,,,,2,96
treats,4.4,,"adult,_all_stages",$4.99,,None,Cat Vitamins & Supplements,,,,,Nutri-Vet,61056,,,,,69,,$10.04,gel/lotion,,,,united_states,"Nutri-Vet Hairball Chicken Flavor Paw-Gel for Cats, 3-oz bottle",,,,2,90
treats,4,3.44ounces,"adult,_all_stages",$8.12,,None,Cat Vitamins & Supplements,,,,,VetriScience,57626,,,,,72,,$15.99,chews,,,,united_states,"VetriScience UT Strength Feline Bite-Sized Cat Chews, 60 count",,,,2,79
,4.4,,adult,$24.94,,None,Cat Vitamins & Supplements,,,,,Vetoquinol,74409,,,vet_solutions,,49,,$29.92,liquid,,,,,"Vetoquinol Enisyl-F Oral Paste for Cats, 100 mL",,,,2,91
,4.6,,adult,$16.27,,30-cc syringe,Cat Vitamins & Supplements,,,,,Vetoquinol,81896,,,vet_solutions,,44,,$16.99,gel/lotion,,,,united_states,Vetoquinol Pro-Pectalin Anti-Diarrheal Oral Gel Dog & Cat Supplement,,,,2,93
,4.4,,"kitten,_puppy,_adult,_all_stages",$18.00,,None,Cat Vitamins & Supplements,,,,,VetriScience,57628,,,,,37,,$24.99,tablet/capsule,,,,united_states,"VetriScience Omega 3,6,9 System Health Dog & Cat SoftGel Capsules, 90 count",,,,2,92
,5,,"adult,_puppy,_senior",$23.57,,None,Dog Flea & Tick,,,,,PetArmor,105098,,,sergeant's,,None,,None,,,,,united_states,"PetArmor Advanced 2 Flea Treatment for  Large Dogs 21-55 lbs, 4 treatments",,,large,3,100
,4.8,,,$10.71,,None,Cat Vitamins & Supplements,,,,,Vetoquinol,81847,,,vet_solutions,,12,,$11.99,,,,,united_states,Vetoquinol Vet Solutions Enzadent Enzymatic Poultry-Flavored Toothbrush Kit for Dogs & Cats,,,,2,100
,4.2,,"adult,_all_stages",$13.61,,None,Cat Vitamins & Supplements,,,,,Tomlyn,74981,,,,,45,,$23.96,liquid,,,,united_states,"Tomlyn Natural Pet Pharmaceuticals Skin & Itch Homeopathic Cat Supplement, 4-oz bottle",,,,2,87
,4.5,,,$16.49,,33.8-oz bottle,Cat Vitamins & Supplements,,,,,TropiClean,75831,,,,,52,,$17.49,liquid,,,,united_states,TropiClean Fresh Breath Water Additive + Plus Hip & Joint Dog & Cat Supplement,,,,2,90
,4.4,,"all_stages,_adult",$14.99,,17-oz bottle,Cat Vitamins & Supplements,,,,,NaturVet,60333,,,overby_farm,,69,,$19.55,liquid,,,,united_states,NaturVet Unscented Salmon Oil for Dogs & Cats,,,,2,90
,3.9,,"adult,_senior",$4.83,,None,Cat Vitamins & Supplements,,,,,Vet's Best,60148,,,,,128,,$8.99,tablet/capsule,,,,united_states,"Vet's Best Hairball Relief Digestive Aid Cat Supplement, 60 count",,,,2,81
,4.2,,,$16.99,,None,Dog Flea & Tick,,,,,Advantage II,75505,,,bayer,,None,,$26.99,,,,,united_states,"Advantage II Carpet & Upholstery Spot Spray, 16-oz spray",,,,3,100
,4.8,,"kitten,_puppy,_adult",$23.98,,None,Dog Beds & Mats,,"16
________________________x_20inches",,,K&H Pet Products,69562,,,,recycled_materials,133,,$37.33,,,,pillow,,K&H Pet Products Self-Warming Two Tone Lounge Sleeper Pet Bed,,,,3,98
,4.3,,"puppy,_adult",$46.71,,Large,Dog Beds & Mats,,"32
________________________x_44inches",,,K&H Pet Products,61439,,,,,33,,$72.02,,,,"cooling,_outdoor",,"K&H Pet Products Cool Bed III Dog Bed, Grey",,,,3,88
,4.6,,"puppy,_adult",$48.00,,None,Dog Beds & Mats,,"48
________________________x_26
____________________________x_7inches",,,Carlson Pet Products,69467,,,,,31,,$50.32,,,,elevated,,"Carlson Pet Products Portable Pup Travel Pet Bed, Tan, Large",,,large,3,97
,5,,"puppy,_adult,_senior",$279.95,,X-Large,Dog Beds & Mats,,"52
________________________x_36
____________________________x_7inches",,,Big Barker,106726,,,,,109,,None,,,,"orthopedic,_pillow",,Big Barker Headrest Edition Pillow Top Orthopedic Dog Bed,,,"large,_giant",3,100
,4.6,,,$27.94,,None,Dog Beds & Mats,,,,,K&H Pet Products,69715,,,,,None,,$47.76,,,,,,K&H Pet Products Furniture Cover for Chairs,,,,3,89
,4.4,,"kitten,_puppy,_adult",$23.99,,None,Dog Beds & Mats,,"14
________________________x_14
____________________________x_21inches",,,Armarkat,70089,,,,,31,,$29.99,,,,"covered,_pillow",,"Armarkat Pet Bed Cave Shape, Orange/Ivory",,,extra_small,3,86
,4.5,,"kitten,_puppy,_adult,_senior",$54.22,,None,Dog Beds & Mats,,"30
________________________x_25
____________________________x_9inches",,,K&H Pet Products,69683,,,,,19,,$72.66,,,,"orthopedic,_pillow",,"K&H Pet Products Deluxe Ortho Bolster Sleeper Pet Bed, Green, Medium",,,,3,95
treats,3.4,,"adult,_all_stages",$10.99,,None,Cat Vitamins & Supplements,,,,,NaturVet,80390,,,overby_farm,,66,,$15.99,chews,,,,united_states,"NaturVet Tear Stain Dog & Cat Soft Chews, 70 count",,,all_breeds,3,67
,4.5,,"puppy,_adult",$19.95,,None,Dog Beds & Mats,,"40
________________________x_30inches",,,Ultra Paws,106013,,,,"polyester,_fleece",None,,None,,,,blanket,,"Ultra Paws My Blankie! BoneApart Dog Blanket, Tan/Cream, Small",,,,3,100
,4.8,,"puppy,_adult",$44.07,,Large,Dog Beds & Mats,,"30
________________________x_48
____________________________x_8inches",,,K&H Pet Products,69713,,,,,24,,$74.86,,,,pillow,,"K&H Pet Products Travel & SUV Pet Bed, Gray",,,,3,96
,4.6,,,$21.99,,Large,Dog Beds & Mats,,"35
________________________x_22
____________________________x_2inches",,,Armarkat,70137,,,,,19,,$22.37,,,,,,"Armarkat Pet Bed Mat Pillow, Pink",,,"medium,_large",3,95
,4.8,,"puppy,_adult,_senior,_all_stages",$82.03,,None,Dog Beds & Mats,,"33
________________________x_24inches",,,K&H Pet Products,75029,,,,,124,,$99.88,,,,"orthopedic,_pillow",,"K&H Pet Products Memory Foam Cozy Pet Sofa, Medium",,,,3,97
,4.4,,,$58.49,,Large,Dog Beds & Mats,,"22.5
________________________x_28.5inches",,,K&H Pet Products,72224,,,,,35,,None,,,,,,K&H Pet Products Deluxe Lectro-Kennel Heated Pad & Cover,,,,3,94
,4.5,,"puppy,_adult,_senior",$79.42,,Large,Dog Beds & Mats,,"29
________________________x_45
____________________________x_3.75inches",,,K&H Pet Products,61475,,,,,100,,$113.99,,,,"orthopedic,_pillow",,"K&H Pet Products Memory Sleeper Dog Bed, Sage",,,,3,91
,3.6,,"kitten,_puppy,_adult",$19.29,,None,Dog Beds & Mats,,"22
________________________x_16
____________________________x_12inches",,,Armarkat,70078,,,,,None,,$30.49,,,,"covered,_pillow",,"Armarkat Slipper Shape Pet Bed, Mocha/Beige",,,extra_small,3,50
,4.2,,adult,$5.36,,None,Dog Flea & Tick,,,,,Ark Naturals,60760,,,,,None,,$11.95,,,,,united_states,"Ark Naturals Neem ""Protect"" Dog, Cat & Horse Spray, 8-oz bottle",,,,4,80
,3.9,,"adult,_senior",$4.52,,None,Cat Vitamins & Supplements,,,,,Vet's Best,60160,,,,,60,,$10.99,tablet/capsule,,,,united_states,"Vet's Best Urinary Tract Support Cat Supplement, 60 count",,,,3,76
,5,,"adult,_all_stages",$39.99,,131g jar,Cat Vitamins & Supplements,,,"gluten_free,_gmo-free",,Nusentia,104668,,,,,11,,None,powdered,,,,united_states,Nusentia Probiotic Miracle Premium Blend Dog & Cat Supplement,,,,3,100
treats,3.6,5.12ounces,adult,$12.63,,None,Cat Vitamins & Supplements,,,,,VetriScience,63756,,,,,56,,$15.99,chews,,,,united_states,"VetriScience Renal Essentials Feline Bite-Sized Cat Chews, 120 count",,,,3,75
,4.8,,"kitten,_all_stages",$5.59,,4.4-oz,Cat Vitamins & Supplements,,,,,Sentry,71594,,,sergeant's,,44,,$9.99,liquid,,,,,Sentry HC Petromalt Hairball Relief Original Formula Malt Flavor Cat Treatment,,,,3,100
,4.1,,,$25.00,,None,Cat Vitamins & Supplements,,,,,Angels' Eyes,108437,,,,,None,,$42.00,chews,,,,united_states,"Angels' Eyes Beef Flavored Soft Chews for Dogs & Cats, 120-count",,,,3,88
,4.5,,"kitten,_adult,_all_stages",$14.89,,None,Cat Vitamins & Supplements,,,,,Comfort Zone,65501,,,feliway,,47,,$29.99,,,,,,"Comfort Zone with Feliway Cat Diffuser Refill, 48-ml, 1 count",,,,3,98
,5,1.0pounds,"puppy,_adult",$12.50,,Medium/Large,Dog Beds & Mats,,"36
________________________x_27
____________________________x_4.5inches",,,Molly Mutt,105239,,,,nylon,None,,None,,,,pillow,,Molly Mutt Square Stuff Sack,,,"medium,_large",4,100
,3,,"puppy,_adult",$28.89,,None,Dog Beds & Mats,,"32.5
________________________x_25.5
____________________________x_6inches",,,Hugs Pet Products,103792,,,,,None,,$44.99,,,,"elevated,_cooling",,"Hugs Pet Products Cool Cot Elevated Pet Bed, Medium",,,medium,4,50
,5,,"kitten,_puppy,_adult",$42.49,,Medium,Dog Beds & Mats,,"27
________________________x_36inches",,,K&H Pet Products,78572,,,,,None,,$79.99,,,,pillow,,"K&H Pet Products Tufted Pillow Top Pet Bed, Chocolate",,,,4,100
,4.9,,"puppy,_adult",$44.20,,None,Dog Beds & Mats,,"30
________________________x_42inches",,,K&H Pet Products,78468,,,,,20,,$74.99,,,,elevated,,"K&H Pet Products Self-Warming Pet Cot, Large",,,,4,100
,4.9,,"kitten,_puppy,_adult",$16.64,,None,Dog Beds & Mats,,"14
________________________x_14
____________________________x_14inches",,,Armarkat,70093,,,,,None,,$20.28,,,,pillow,,"Armarkat Pet Bed, Sky Blue/Ivory",,,extra_small,4,100
,5,,"puppy,_adult",$16.24,,None,Dog Beds & Mats,,"30
________________________x_42inches",,,K&H Pet Products,78465,,,,,None,,$39.23,,,,"elevated,_replacement_/_cover",,"K&H Pet Products Self-Warming Pet Cot Cover, Large",,,,4,100
,4.6,,"kitten,_puppy,_adult",$26.23,,None,Dog Beds & Mats,,"19
________________________x_19
____________________________x_6inches",,,K&H Pet Products,75125,,,,,17,,$35.24,,,,pillow,,"K&H Pet Products Self-Warming Nuzzle Nest Pet Bed, Leopard",,,,4,94
,4.6,,"puppy,_adult,_senior",$81.40,,Large,Dog Beds & Mats,,"40
________________________x_50inches",,,K&H Pet Products,75054,,,,,69,,$124.89,,,,"orthopedic,_pillow",,"K&H Pet Products Superior Orthopedic Pet Bed, Mocha",,,,4,91
,3.7,,,$18.81,,Large,Dog Beds & Mats,,"35
________________________x_22
____________________________x_2inches",,,Armarkat,70134,,,,,None,,$24.51,,,,,,"Armarkat Pet Bed Mat Pillow, Brown",,,"large,_medium",4,67
,3.2,,"kitten,_puppy,_adult",$65.00,,X-Large,Dog Beds & Mats,,"49
________________________x_35
____________________________x_10inches",,,Armarkat,70112,,,,,22,,$87.79,,,,pillow,,"Armarkat Pet Bed, Burgundy",,,giant,4,50
,4.4,,,$44.99,,X-Large,Dog Beds & Mats,,"36.5
________________________x_31
____________________________x_0.25inches",,,Hyper Pet,107516,,,realtree,,None,,None,,,,cooling,,Hyper Pet RealTree Cool Dog Mat,,,giant,4,80
,4.7,,"puppy,_adult,_senior",$97.20,,Medium,Dog Beds & Mats,,"30
________________________x_40inches",,,K&H Pet Products,78518,,,,,21,,$139.99,,,,"orthopedic,_pillow",,"K&H Pet Products Feather-Top Ortho Pet Bed, Black",,,,4,95
,4.7,,,$29.78,,Medium,Dog Beds & Mats,,"29
________________________x_18inches",,,Precision Pet Products,74143,,,,,67,,$31.99,,,,,,"Precision Pet Products SnooZZy Cozy Comforter Crate Mat, Natural",,,medium,4,94
,2.9,3.0pounds,"all_stages,_puppy,_adult,_senior",$122.55,,X-Large,Dog Beds & Mats,,"42
________________________x_28
____________________________x_5inches",,,Dog Gone Smart,105417,,,,nylon,11,,$123.79,,,,"orthopedic,_pillow",,"Dog Gone Smart Chew Resistant Ninja Bed, Olive",,,large,4,45
,4.7,,"kitten,_puppy,_adult",$46.99,,Medium,Dog Beds & Mats,,,,,K&H Pet Products,78530,,,,,None,,$69.99,,,,pillow,,"K&H Pet Products Sleepy Nest Pet Bed, Caramel",,,,4,100
,4.4,,"kitten,_puppy,_adult",$57.70,,X-Large,Dog Beds & Mats,,"51
________________________x_36
____________________________x_10inches",,,Armarkat,70124,,,,,24,,$89.79,,,,pillow,,"Armarkat Pet Bed & Mat, Laurel Green/Ivory",,,"giant,_large",4,87
,4.1,,"kitten,_puppy,_adult",$34.99,,None,Dog Beds & Mats,,"9
________________________x_9inches",,,K&H Pet Products,69553,,,,,67,,$41.29,,,,heated,,K&H Pet Products Microwavable Bed Warmer,,,all_breeds,4,81
,3.8,,,$21.99,,Large,Dog Beds & Mats,,"35
________________________x_22
____________________________x_2inches",,,Armarkat,70140,,,,,23,,$24.09,,,,,,"Armarkat Pet Bed Mat Pillow, Beige",,,"medium,_large",4,70
,3,,"puppy,_adult",$92.13,,Giant,Dog Beds & Mats,,"50
________________________x_35inches",,,Starmark,78216,,,,nylon,None,,$139.99,,,,elevated,,"Starmark Dog Zone Pro-Training Dog Bed, Sky Blue",,,giant,4,40
,4,,"adult,_all_stages",$12.49,,None,Cat Vitamins & Supplements,,,,,Free Form,91629,,,"bayer,_dvm",,16,,$13.92,tablet/capsule,,,,united_states,"Free Form Snip Tips Fatty Acid Capsules for Small Dogs & Cats, 60-count bottle",,,,4,80
,4.1,2.0pounds,"kitten,_puppy,_adult",$27.70,,None,Dog Beds & Mats,,"16
________________________x_13
____________________________x_12inches",,,Best Friends by Sheri,106761,,,,,None,,$38.25,,,,"covered,_pillow",,Best Friends by Sheri Igloo Pet Bed,,,"extra_small,_small",4,89
,3.1,3.0pounds,"all_stages,_puppy,_adult,_senior",$94.99,,X-Large,Dog Beds & Mats,,"42
________________________x_28
____________________________x_5inches",,,Dog Gone Smart,105410,,,,nylon,16,,None,,,,"orthopedic,_pillow",,"Dog Gone Smart Chew Resistant Ninja Bed, Khaki",,,giant,4,43
,4.8,,"adult,_all_stages",$27.95,,None,Cat Vitamins & Supplements,,,,,Finest for Pets,109198,,,,,None,,None,powdered,,,,united_states,"Finest for Pets TummyWorks Probiotics & Digestive Dog & Cat Supplement, 160 scoops",,,,4,100
,4.5,3.52ounces,all_stages,$3.72,,None,Cat Vitamins & Supplements,,,,,Hartz,84278,,,,,33,,$7.49,gel/lotion,,,,,"Hartz Hairball Remedy Plus Salmon Flavor Paste for Cats & Kittens, 2.5-oz tube",,,,4,91
,3,28.8pounds,"puppy,_adult,_kitten",$34.99,,None,Dog Beds & Mats,,"25
________________________x_5
____________________________x_12inches",,,Pet Parade,110279,,,,"fleece,_cotton,_polyester",None,,$40.15,,,,"covered,_pillow",,Pet Parade Pet Cave Deluxe,,,"small,_extra_small",5,100
,4.6,,all_stages,$15.45,,2-oz bottle,Cat Vitamins & Supplements,,,,,Animal Essentials,97915,,,,,22,,$20.87,liquid,,,,united_states,Animal Essentials Tinkle Tonic Herbal Dog & Cat Supplement,,,,4,91
,4.8,12ounces,all_stages,$16.66,,None,Cat Vitamins & Supplements,,,,,Animal Essentials,64405,,,,,14,,$30.00,powdered,,,,united_states,"Animal Essentials Seaweed Calcium Dog & Cat Supplement, 12-oz jar",,,,4,100
,3.8,,"adult,_all_stages",$11.95,,None,Cat Vitamins & Supplements,,,,,Dr. Harvey's,62402,,,,,58,,$12.26,gel/lotion,,,,united_states,"Dr. Harvey's Organic Healing Dog & Cat Cream, 1.5-oz jar",,,,4,73
,4.7,,"adult,_all_stages",$10.59,,None,Cat Vitamins & Supplements,,,,,VetriScience,69902,,,,,None,,$11.00,tablet/capsule,,,,united_states,"VetriScience Coenzyme Q10, 10mg Dog & Cat Capsules, 100-count",,,,4,100
,5,,"kitten,_puppy,_adult",$23.99,,None,Dog Beds & Mats,,"15
________________________x_15
____________________________x_7inches",,,Armarkat,70074,,,,,None,,None,,,,pillow,,"Armarkat Pet Bed, Pink",,,extra_small,5,100
,1,1.4pounds,"adult,_all_stages",$34.99,,Large,Dog Beds & Mats,,"45
________________________x_36
____________________________x_2inches",,,4Knines,115253,,,,,None,,$39.99,,,,"replacement_/_cover,_pillow",,4Knines Waterproof Dog Bed Liner,,,large,5,100
,3,,,$16.52,,Large,Dog Beds & Mats,,"35
________________________x_22inches",,,Precision Pet Products,82787,,,,nylon,None,,$36.99,,,,,,"Precision Pet Products SnooZZy Durable Crate Mat for Dogs, Pink Camo",,,,5,50
,3.2,,,$35.90,,Large,Dog Beds & Mats,,"40.7
________________________x_25.8inches",,,Precision Pet Products,74102,,,,,18,,$40.70,,,,,,"Precision Pet Products Outback Log Cabin Floor Pad, Navy",,,large,5,67
,3,,,$22.62,,Medium,Dog Beds & Mats,,"30
________________________x_21inches",,,Precision Pet Products,82791,,,,nylon,None,,$29.33,,,,,,"Precision Pet Products SnooZZy Durable Crate Mat for Dogs, Brown",,,,5,44
,4.8,,"kitten,_puppy,_adult,_senior",$22.26,,None,Dog Beds & Mats,,"14
________________________x_15
____________________________x_5.5inches",,,K&H Pet Products,75107,,,,,None,,$35.35,,,,"orthopedic,_pillow",,K&H Pet Products Lazy Lounger Pet Bed,,,,5,100
,4.6,,"kitten,_puppy,_adult",$63.27,,Large,Dog Beds & Mats,,"32
________________________x_40inches",,,K&H Pet Products,61515,,,,,20,,None,,,,pillow,,"K&H Pet Products Self-Warming Lounge Sleeper Pet Bed, Brown",,,,5,100
,5,1.0pounds,"adult,_all_stages",$21.99,,24-inch,Dog Beds & Mats,,"24
________________________x_18
____________________________x_1.5inches",,,Pet Dreams,112873,,,,microfiber,None,,None,,,,pillow,,Pet Dreams Sleep-eez Plush Reversible Dog Crate Mat,,,,5,100
,4,9.0pounds,"puppy,_adult",$74.99,,Large,Dog Beds & Mats,,"26
________________________x_37.5
____________________________x_7inches",,,Gen7Pets,105017,,,,,None,,None,,,,"elevated,_outdoor",,"Gen7Pets Cool-Air Cot Pet Bed, Pathfinder Red",,,large,5,100
